2012_rank,city,state,pop_2012,pop,change,land_area,label
63,Anchorage,Alaska,298610,291826,2.3200%,1704.7,1
12,Jacksonville,Florida,836507,821784,1.7900%,747,1
29,Oklahoma City,Oklahoma,599199,579999,3.3100%,606.4,0
4,Houston,Texas,2160821,2100263,2.8800%,599.6,1
6,Phoenix,Arizona,1488750,1445632,2.9800%,516.7,1
25,Nashville,Tennessee,624496,601222,3.8700%,475.1,0
2,Los Angeles,California,3857799,3792621,1.7200%,468.7,1
7,San Antonio,Texas,1382951,1327407,4.1800%,460.9,1
13,Indianapolis,Indiana,834852,820445,1.7600%,361.4,0
92,Chesapeake,Virginia,228417,222209,2.7900%,340.8,0
9,Dallas,Texas,1241162,1197816,3.6200%,340.5,1
16,Fort Worth,Texas,777992,741206,4.9600%,339.8,0
27,Louisville,Kentucky,605110,597337,1.300%,325.2,0
8,San Diego,California,1338348,1307402,2.3700%,325.2,1
20,Memphis,Tennessee,655155,646889,1.2800%,315.1,0
37,Kansas City,Missouri,464310,459787,0.9800%,315,0
1,New York,New York,8336697,8175133,1.9800%,302.6,1
117,Augusta,Georgia,197872,195844,1.0400%,302.5,0
11,Austin,Texas,842592,790390,6.600%,297.9,0
17,Charlotte,North Carolina,775202,731424,5.9900%,297.7,0
62,Lexington,Kentucky,310573,295803,4.9900%,283.6,0
19,El Paso,Texas,672538,649121,3.6100%,255.2,0
39,Virginia Beach,Virginia,447021,437994,2.0600%,249,0
3,Chicago,Illinois,2714856,2695598,0.7100%,227.6,1
33,Tucson,Arizona,524295,520116,0.800%,226.7,0
15,Columbus,Ohio,809798,787033,2.8900%,217.2,0
116,Columbus,Georgia,198413,189885,4.4900%,216.4,0
126,Huntsville,Alabama,183739,180105,2.0200%,209.1,0
46,Tulsa,Oklahoma,393987,391906,0.5300%,196.8,0
41,Colorado Springs,Colorado,431834,416427,3.700%,194.5,0
32,Albuquerque,New Mexico,555417,545852,1.7500%,187.7,0
94,Scottsdale,Arizona,223514,217385,2.8200%,183.9,0
231,Norman,Oklahoma,115562,110925,4.1800%,178.8,0
10,San Jose,California,982765,945942,3.8900%,176.5,1
150,Peoria,Arizona,159789,154065,3.7200%,174.4,0
51,New Orleans,Louisiana,369250,343829,7.3900%,169.4,0
60,Corpus Christi,Texas,312195,305215,2.2900%,160.6,0
105,Montgomery,Alabama,205293,205764,-0.2300%,159.6,0
49,Wichita,Kansas,385577,382368,0.8400%,159.3,0
56,Aurora,Colorado,339030,325078,4.2900%,154.1,0
23,Denver,Colorado,634265,600158,5.6800%,153,0
100,Birmingham,Alabama,212038,212237,-0.0900%,146.1,0
107,Fayetteville,North Carolina,202103,200564,0.7700%,145.8,0
42,Raleigh,North Carolina,423179,403892,4.7800%,142.9,0
52,Bakersfield,California,358597,347483,3.200%,142.2,0
120,Mobile,Alabama,194822,195111,-0.1500%,139.1,0
18,Detroit,Michigan,701475,713777,-1.7200%,138.8,0
138,Chattanooga,Tennessee,171279,167674,2.1500%,137.2,0
38,Mesa,Arizona,452084,439041,2.9700%,136.5,0
31,Las Vegas,Nevada,596424,583756,2.1700%,135.8,0
5,Philadelphia,Pennsylvania,1547607,1526006,1.4200%,134.1,1
28,Portland,Oregon,603106,583776,3.3100%,133.4,0
